author_type,district,floor,floors_count,kitchen_meters,living_meters,price,rooms_count,street,total_meters,underground,year_of_construction
developer,Калининский,6.0,21.0,5.2,15.4,4580000.0,1.0, Тюленина,29.3,Заельцовская,2025
real_estate_agent,Советский,20.0,21.0,12.3,18.4,5000000.0,1.0, Русская,30.7,Студенческая,2016
real_estate_agent,Калининский,1.0,9.0,4.0,14.0,5200000.0,1.0, Дунаевского,28.0,Заельцовская,2017
real_estate_agent,Октябрьский,10.0,25.0,5.378,21.512,4625080.0,1.0,Пролетарская ,26.89,Золотая Нива,2026
real_estate_agent,Заельцовский,23.0,26.0,3.0,17.0,5250000.0,1.0,Красный проспект,28.0,Заельцовская,2025
real_estate_agent,Октябрьский,4.0,25.0,10.0,13.9,6600000.0,1.0, Владимира Заровного,35.1,Речной вокзал,2019
developer,Центральный,18.0,29.0,2.0,13.1,4735250.0,1.0, Николая Островского,20.15,Гагаринская,2026
homeowner,Октябрьский,13.0,26.0,6.0,27.0,7400000.0,1.0,2-я Обская ,42.0,Октябрьская,2027
homeowner,Центральный,2.0,8.0,10.0,42.6,15975000.0,1.0, Чаплыгина,52.6,Площадь Ленина,2023
developer,Центральный,27.0,30.0,8.872,35.488,11200000.0,1.0, Мичурина,44.36,Сибирская,2027
real_estate_agent,Кировский,3.0,5.0,2.6999999999999993,10.0,1700000.0,1.0, Зорге,12.7,Площадь Маркса,1973
real_estate_agent,Кировский,3.0,10.0,2.0,5.5,1200000.0,1.0, Виктора Шевелева,8.1,Студенческая,2017
developer,Заельцовский,16.0,24.0,4.3,62.2,18650000.0,1.0,Красный проспект,96.9,Заельцовская,2028
real_estate_agent,Кировский,2.0,3.0,2.0,12.0,1450000.0,1.0, Герцена,14.0,Студенческая,2017
developer,Дзержинский,10.0,25.0,5.188000000000001,20.752000000000002,5800000.0,1.0,проспект Дзержинского,25.94,Березовая Роща,2027
developer,Заельцовский,3.0,23.0,5.6,13.9,6300000.0,1.0, Ляпидевского,34.9,Заельцовская,2025
real_estate_agent,Первомайский,11.0,19.0,5.0,12.0,2000000.0,1.0,Березовая ,18.2,Речной вокзал,2010
developer,Кировский,5.0,26.0,13.8,18.3,7110000.0,1.0, Аникина,46.57,Студенческая,2026
real_estate_agent,Заельцовский,1.0,4.0,4.0,11.0,2350000.0,1.0, Жуковского,15.0,Заельцовская,1964
developer,Кировский,3.0,11.0,5.0,12.5,4400000.0,1.0,18-й Бронный переулок,26.3,Студенческая,2025
real_estate_agent,Ленинский,6.0,16.0,3.0,13.3,4499000.0,1.0, Забалуева,26.6,Студенческая,2015
developer,Заельцовский,23.0,24.0,7.1,67.9,20200000.0,1.0,Красный проспект,112.3,Заельцовская,2028
real_estate_agent,Заельцовский,6.0,10.0,4.960000000000001,19.840000000000003,3600000.0,1.0,Кубовая ,24.8,Заельцовская,2022
real_estate_agent,Первомайский,13.0,18.0,3.0,15.0,4100000.0,1.0, Героев Революции,27.7,Речной вокзал,2016
developer,Ленинский,8.0,18.0,5.0,14.0,6355950.0,1.0, Серафимовича,30.2,Площадь Маркса,2026
developer,Кировский,16.0,24.0,5.0,14.3,4750000.0,1.0, Немировича-Данченко,29.0,Студенческая,2028
real_estate_agent,Калининский,10.0,17.0,4.0,19.3,3550000.0,1.0, Краузе,23.3,Заельцовская,2010
real_estate_agent,Заельцовский,11.0,18.0,5.0,17.0,4600000.0,1.0,Сухарная ,27.0,Площадь Гарина-Михайловского,2014
developer,Дзержинский,3.0,14.0,4.4,33.1,6300000.0,1.0, Есенина,46.5,Золотая Нива,2027
real_estate_agent,Заельцовский,18.0,25.0,4.0,16.0,5390000.0,1.0, Дуси Ковальчук,34.0,Заельцовская,2025
developer,Ленинский,1.0,18.0,5.0,14.0,6150900.0,1.0, Серафимовича,30.6,Площадь Маркса,2026
real_estate_agent,Ленинский,9.0,25.0,5.0,16.3,3350000.0,1.0, Пархоменко,27.0,Площадь Маркса,2025
developer,Кировский,2.0,24.0,5.6,13.0,4250000.0,1.0, Немировича-Данченко,27.6,Студенческая,2028
real_estate_agent,Кировский,1.0,3.0,7.8,25.0,3480000.0,1.0,Воскресная ,37.8,Студенческая,2017
real_estate_agent,Первомайский,2.0,17.0,4.920000000000001,19.680000000000003,3500000.0,1.0,Первомайская ,24.6,Речной вокзал,2013
developer,Железнодорожный,16.0,25.0,6.0600000000000005,24.240000000000002,7800000.0,1.0,Железнодорожная ,30.3,Гагаринская,2024
real_estate_agent,Кировский,6.0,16.0,3.5,10.0,3400000.0,1.0, Петухова,20.2,Площадь Маркса,2024
realtor,Калининский,5.0,17.0,5.0,13.6,4050000.0,1.0,Игарская ,29.3,Заельцовская,2025
developer,Кировский,9.0,24.0,4.9,13.3,4450000.0,1.0, Немировича-Данченко,27.2,Студенческая,2028
real_estate_agent,Октябрьский,6.0,24.0,3.0,13.4,4800000.0,1.0,Большевистская ,21.36,Речной вокзал,2020
developer,Октябрьский,4.0,6.0,5.0,6.9,5360000.0,1.0,Большевистская ,20.67,Спортивная,2028
real_estate_agent,Октябрьский,6.0,10.0,4.4,34.6,3100000.0,1.0, Плющихинская,39.0,Золотая Нива,2024
real_estate_agent,Октябрьский,13.0,25.0,5.506,22.024,4707630.0,1.0,Пролетарская ,27.53,Золотая Нива,2026
developer,Дзержинский,4.0,17.0,17.72,12.9,5817800.0,1.0,Промышленная ,30.62,Березовая Роща,2026
developer,Ленинский,11.0,18.0,5.0,13.3,6296350.0,1.0, Серафимовича,29.1,Площадь Маркса,2026
real_estate_agent,Железнодорожный,13.0,25.0,4.0,20.8,5096000.0,1.0,Железнодорожная ,24.8,Гагаринская,2016
real_estate_agent,Советский,1.0,3.0,3.0,19.0,2650000.0,1.0, Ивлева,28.7,Студенческая,1994
developer,Центральный,23.0,25.0,5.04,20.16,6800000.0,1.0, Державина,25.2,Маршала Покрышкина,2022
developer,Кировский,5.0,26.0,13.8,18.3,8510000.0,1.0, Аникина,46.57,Студенческая,2026
real_estate_agent,Ленинский,2.0,4.0,4.999999999999999,6.7,2400000.0,1.0,переулок 2-й Пархоменко,11.7,Площадь Маркса,2015
developer,Кировский,1.0,10.0,4.0,12.7,4990000.0,1.0,18-й Бронный переулок,29.0,Студенческая,2025
real_estate_agent,Октябрьский,9.0,10.0,10.0,22.4,3550000.0,1.0, Татьяны Снежиной,32.4,Золотая Нива,2012
real_estate_agent,Октябрьский,21.0,23.0,5.682,22.728,4602420.0,1.0,2-я Воинская ,28.41,Золотая Нива,2025
real_estate_agent,Октябрьский,3.0,10.0,6.800000000000001,27.200000000000003,3000000.0,1.0, Плющихинская,34.0,Золотая Нива,2024
developer,Ленинский,1.0,18.0,5.0,13.7,6796300.0,1.0, Серафимовича,34.1,Площадь Маркса,2026
realtor,Заельцовский,8.0,8.0,4.44,17.76,5300000.0,1.0,Красный проспект,22.2,Заельцовская,2023
developer,Центральный,21.0,25.0,5.84,23.36,7600000.0,1.0, Державина,29.2,Маршала Покрышкина,2022
developer,Октябрьский,10.0,23.0,5.0,17.9,6820000.0,1.0,Большевистская ,32.88,Спортивная,2028
real_estate_agent,Центральный,2.0,3.0,5.8,28.3,4300000.0,1.0,Колыванская ,34.1,Октябрьская,1933
developer,Кировский,6.0,11.0,4.3,14.5,4500000.0,1.0,18-й Бронный переулок,25.3,Студенческая,2025
developer,Октябрьский,9.0,23.0,5.0,20.8,7090000.0,1.0,Большевистская ,35.74,Спортивная,2028
real_estate_agent,Октябрьский,9.0,10.0,6.800000000000001,27.200000000000003,2600000.0,1.0, Плющихинская,34.0,Золотая Нива,2020
developer,Железнодорожный,18.0,25.0,5.82,23.28,8200000.0,1.0,Железнодорожная ,29.1,Гагаринская,2024
real_estate_agent,Кировский,1.0,10.0,4.0,18.0,3000000.0,1.0, Зорге,28.8,Площадь Маркса,2017
developer,Центральный,29.0,30.0,6.5,18.7,9960000.0,1.0, Николая Островского,45.1,Гагаринская,2026
real_estate_agent,Ленинский,5.0,11.0,9.8,12.2,3200000.0,1.0, Титова,22.0,Площадь Маркса,2021
developer,Октябрьский,2.0,14.0,5.0,12.5,5900000.0,1.0,Большевистская ,24.39,Спортивная,2028
real_estate_agent,Кировский,18.0,27.0,6.0200000000000005,24.080000000000002,4300000.0,1.0, Оловозаводская,30.1,Студенческая,2015
real_estate_agent,Ленинский,2.0,27.0,4.8,12.0,4600000.0,1.0, Титова,28.11,Площадь Маркса,2026
developer,Ленинский,16.0,18.0,5.0,11.8,6352900.0,1.0, Серафимовича,27.7,Площадь Маркса,2026
real_estate_agent,Ленинский,8.0,12.0,6.4,25.6,4000000.0,1.0, Романтиков,32.0,Площадь Маркса,2015
developer,Первомайский,1.0,14.0,5.0,9.1,3887100.0,1.0, Одоевского,21.4,Речной вокзал,2026
real_estate_agent,Октябрьский,5.0,10.0,5.0,20.0,3260000.0,1.0, Татьяны Снежиной,33.0,Золотая Нива,2011
developer,Дзержинский,15.0,17.0,14.55,12.2,5649600.0,1.0,Промышленная ,26.75,Березовая Роща,2026
developer,Ленинский,3.0,17.0,5.3580000000000005,21.432000000000002,3873044.0,1.0, Забалуева,26.79,Площадь Маркса,2025
developer,Октябрьский,9.0,23.0,5.2,11.1,5650000.0,1.0, Грибоедова,25.9,Золотая Нива,2026
real_estate_agent,Ленинский,4.0,4.0,4.600000000000001,16.4,2700000.0,1.0,Большая ,21.0,Площадь Маркса,2016
developer,Октябрьский,2.0,6.0,5.0,9.6,5310000.0,1.0,Большевистская ,21.55,Спортивная,2028
real_estate_agent,Кировский,10.0,18.0,3.0,14.0,4250000.0,1.0, Костычева,24.0,Площадь Маркса,2012
developer,Калининский,12.0,21.0,5.1,8.7,3881940.0,1.0,Юбилейный мкр,24.8,Заельцовская,2027
real_estate_agent,Дзержинский,9.0,22.0,4.0,18.9,4000000.0,1.0, Коминтерна,27.9,Золотая Нива,2019
real_estate_agent,Первомайский,4.0,10.0,5.0,15.0,4200000.0,1.0, Заречная,30.0,Спортивная,2013
developer,Центральный,22.0,25.0,5.18,20.72,7000000.0,1.0, Державина,25.9,Маршала Покрышкина,2022
