floor,floors_count,price,rooms_count,total_meters,year_of_construction
14,17,2700000,1.0,23.8,2013
7,10,2700000,1.0,33.0,2024
13,17,2700000,1.0,26.0,2007
10,17,2745000,1.0,20.0,2013
9,18,2700000,1.0,22.3,2007
16,18,2740000,1.0,25.0,2013
3,16,2700000,1.0,21.0,2007
11,18,2750000,1.0,18.1,2024
5,9,2750000,1.0,13.0,1958
5,17,2750000,1.0,29.6,2007
3,5,2750000,1.0,14.9,1944
6,10,2750000,1.0,33.58,2025
6,10,2750000,1.0,33.0,2007
10,10,2780000,1.0,33.5,2007
12,17,2790000,1.0,26.0,2015
3,5,2750000,1.0,14.9,1944
3,10,2800000,1.0,21.0,2016
5,5,2800000,1.0,22.4,2007
10,17,2800000,1.0,27.7,2014
5,10,2800000,1.0,20.8,2015
2,18,2800000,1.0,18.2,2017
2,3,2800000,1.0,27.0,2007
3,10,2850000,1.0,33.58,2026
3,3,2850000,1.0,35.3,2012
4,10,2850000,1.0,32.47,2025
9,9,2890000,1.0,16.5,1981
8,10,2880000,1.0,39.02,2024
2,3,2855000,1.0,24.2,1970
4,10,2850000,1.0,33.0,2007
6,6,2900000,1.0,24.0,2015
4,17,2900000,1.0,21.0,2024
14,18,2945000,1.0,22.7,2018
5,10,2900000,1.0,39.02,2024
9,10,2900000,1.0,20.6,2015
7,17,2900000,1.0,22.4,2025
3,9,2900000,1.0,16.2,1987
7,10,2900000,1.0,33.0,2024
1,2,2750000,1.0,31.7,1959
1,2,2350000,1.0,31.6,2007
4,17,2940000,1.0,25.0,2013
7,17,2900000,1.0,22.5,2025
2,3,2935000,1.0,25.4,1968
1,4,2900000,1.0,24.9,2015
9,10,2900000,1.0,39.0,2024
14,17,2950000,1.0,22.7,2017
4,17,2950000,1.0,21.0,2023
4,6,2950000,1.0,24.1,2014
16,17,2950000,1.0,21.0,2018
2,25,2950000,1.0,31.0,2013
10,19,2950000,1.0,24.0,2011
15,25,2950000,1.0,31.0,2007
17,18,2950000,1.0,32.0,2025
10,17,3000000,1.0,20.0,2013
16,17,3000000,1.0,20.9,2023
6,7,3000000,1.0,24.2,2014
6,10,3000000,1.0,39.02,2023
3,17,3000000,1.0,26.5,2020
17,17,3020574,1.0,23.83,2024
2,17,3000000,1.0,21.4,2020
6,17,3036903,1.0,26.2,2018
2,10,3070000,1.0,39.02,2025
4,5,3090000,1.0,23.4,1969
5,17,3090000,1.0,22.4,2014
8,19,3060000,1.0,22.56,2026
16,17,3075000,1.0,26.4,2007
10,10,3100000,1.0,39.3,2024
7,17,3100000,1.0,21.9,2016
8,17,3100000,1.0,23.9,2013
17,17,3100000,1.0,27.9,2024
6,10,3100000,1.0,37.8,2020
7,9,3100000,1.0,17.0,1970
10,17,3100000,1.0,24.7,2019
5,10,3100000,1.0,38.7,2024
3,3,3136000,1.0,39.2,1968
15,18,3100000,1.0,28.3,2021
6,10,3100000,1.0,39.02,2024
6,10,3190000,1.0,37.7,2024
1,5,3150000,1.0,27.0,1968
10,17,3190000,1.0,24.0,2020
1,10,3180000,1.0,26.7,2005
1,9,3150000,1.0,15.0,1980
1,17,3177473,1.0,25.55,2025
5,10,3200000,1.0,28.6,2011
1,12,3200000,1.0,23.3,1986
