author_type,district,finish_type,floor,floors_count,kitchen_meters,living_meters,price,rooms_count,street,total_meters,underground,year_of_construction
developer,Ленинский,Предчистовая,1,18,5 м²,"13,7 м²",6796300,1, Серафимовича,34.1,Площадь Маркса,2026
realtor,Заельцовский,-1,8,8,-1,-1,5300000,1,Красный проспект,22.2,Заельцовская,2023
developer,Центральный,Предчистовая,21,25,-1,-1,7600000,1, Державина,29.2,Маршала Покрышкина,2022
developer,Октябрьский,Предчистовая,10,23,5 м²,"17,9 м²",6820000,1,Большевистская ,32.88,Спортивная,2028
real_estate_agent,Центральный,-1,2,3,"5,8 м²","28,3 м²",4300000,1,Колыванская ,34.1,Октябрьская,1933
developer,Кировский,"Под ключ, предчистовая, чистовая",6,11,"4,3 м²","14,5 м²",4500000,1,18-й Бронный переулок,25.3,Студенческая,2025
developer,Октябрьский,Предчистовая,9,23,5 м²,"20,8 м²",7090000,1,Большевистская ,35.74,Спортивная,2028
real_estate_agent,Октябрьский,-1,9,10,-1,-1,2600000,1, Плющихинская,34.0,Золотая Нива,-1
developer,Железнодорожный,Предчистовая,18,25,-1,-1,8200000,1,Железнодорожная ,29.1,Гагаринская,2024
real_estate_agent,Кировский,-1,1,10,4 м²,18 м²,3000000,1, Зорге,28.8,Площадь Маркса,-1
developer,Центральный,Предчистовая,29,30,"6,5 м²","18,7 м²",9960000,1,,45.1,Гагаринская,2026
real_estate_agent,Ленинский,-1,5,11,-1,"12,2 м²",3200000,1, Титова,22.0,Площадь Маркса,2021
developer,Октябрьский,Предчистовая,2,14,5 м²,"12,5 м²",5900000,1,Большевистская ,24.39,Спортивная,2028
real_estate_agent,Кировский,-1,18,27,-1,-1,4300000,1, Оловозаводская,30.1,Студенческая,2015
real_estate_agent,Ленинский,-1,2,27,"4,8 м²",12 м²,4600000,1, Титова,28.11,Площадь Маркса,2026
developer,Ленинский,Предчистовая,16,18,5 м²,"11,8 м²",6352900,1, Серафимовича,27.7,Площадь Маркса,2026
real_estate_agent,Ленинский,-1,8,12,-1,-1,4000000,1, Романтиков,32.0,Площадь Маркса,-1
developer,Первомайский,"Без отделки, предчистовая, чистовая",1,14,5 м²,"9,1 м²",3887100,1,,21.4,Речной вокзал,2026
real_estate_agent,Октябрьский,-1,5,10,5 м²,20 м²,3260000,1, Татьяны Снежиной,33.0,Золотая Нива,2011
developer,Дзержинский,Предчистовая,15,17,-1,"12,2 м²",5649600,1,Промышленная ,26.75,Березовая Роща,2026
developer,Ленинский,"Без отделки, под ключ, предчистовая, черновая, чистовая",3,17,-1,-1,3873044,1, Забалуева,26.79,Площадь Маркса,2025
developer,Октябрьский,Предчистовая,9,23,"5,2 м²","11,1 м²",5650000,1, Грибоедова,25.9,Золотая Нива,2026
real_estate_agent,Ленинский,-1,4,4,-1,"16,4 м²",2700000,1,Большая ,21.0,Площадь Маркса,2016
developer,Октябрьский,Предчистовая,2,6,5 м²,"9,6 м²",5310000,1,Большевистская ,21.55,Спортивная,2028
real_estate_agent,Кировский,-1,10,18,3 м²,14 м²,4250000,1, Костычева,24.0,Площадь Маркса,2012
developer,Калининский,Предчистовая,12,21,"5,1 м²","8,7 м²",3881940,1,Юбилейный мкр,24.8,Заельцовская,2027
real_estate_agent,Дзержинский,-1,9,22,4 м²,"18,9 м²",4000000,-1, Коминтерна,27.9,Золотая Нива,-1
real_estate_agent,Первомайский,-1,4,10,5 м²,15 м²,4200000,1, Заречная,30.0,Спортивная,2013
developer,Центральный,Предчистовая,22,25,-1,-1,7000000,1, Державина,25.9,Маршала Покрышкина,2022
real_estate_agent,Калининский,-1,4,10,-1,"13,5 м²",3300000,1, Михаила Немыткина,20.0,Заельцовская,2011
real_estate_agent,Октябрьский,Черновая,8,25,-1,-1,4992780,1,Пролетарская ,28.86,Золотая Нива,2026
realtor,Ленинский,-1,5,5,-1,-1,2350000,1, Серафимовича,15.0,,-1
developer,Дзержинский,"Под ключ, предчистовая, чистовая",14,14,5 м²,"11,3 м²",4550000,1,,25.2,Золотая Нива,2027
real_estate_agent,Октябрьский,-1,7,17,"5,1 м²",14 м²,3500000,1,Рябиновая ,25.4,Речной вокзал,2009
real_estate_agent,Ленинский,-1,16,17,4 м²,"10,5 м²",3500000,1, Забалуева,19.5,Студенческая,2023
developer,Железнодорожный,Предчистовая,19,25,-1,-1,9000000,1,Железнодорожная ,34.0,Гагаринская,2024
real_estate_agent,Заельцовский,-1,4,10,3 м²,17 м²,4000000,1,,25.0,Заельцовская,-1
