accommodation_type,author,author_type,deal_type,district,floor,floors_count,house_number,location,price,residential_complex,rooms_count,street,total_meters,underground,url
flat,Калининское,real_estate_agent,sale,Центральный,2,5,58,Новосибирск,5440000,,1,Советская ,30.3,Гагаринская,https://novosibirsk.cian.ru/sale/flat/324598493/?mlSearchSessionGuid=e0f94a0489a6b836ae41be0818b8e690
flat,Владис Центральное,real_estate_agent,sale,Ленинский,4,10,25,Новосибирск,5400000,КрымSKY,1, Пархоменко,33.0,Площадь Маркса,https://novosibirsk.cian.ru/sale/flat/327032323/?mlSearchSessionGuid=e0f94a0489a6b836ae41be0818b8e690
flat,PRO Недвижимость,real_estate_agent,sale,Заельцовский,3,9,62,Новосибирск,5400000,,1,Переездная ,31.7,Заельцовская,https://novosibirsk.cian.ru/sale/flat/326379469/?mlSearchSessionGuid=e0f94a0489a6b836ae41be0818b8e690
flat,Родники,real_estate_agent,sale,Калининский,7,13,5/1,Новосибирск,5400000,Династия. Квартал поколений,1, Имени генерал-майора А.Н. Рожкина,38.0,Заельцовская,https://novosibirsk.cian.ru/sale/flat/323148026/?mlSearchSessionGuid=e0f94a0489a6b836ae41be0818b8e690
flat,ЖИЛФОНД,real_estate_agent,sale,Октябрьский,22,27,9,Новосибирск,5499000,Ваш выбор,1,Вилюйская ,32.5,Речной вокзал,https://novosibirsk.cian.ru/sale/flat/326933760/?mlSearchSessionGuid=e0f94a0489a6b836ae41be0818b8e690
flat,ЖИЛФОНД,real_estate_agent,sale,Калининский,2,19,7,Новосибирск,5450000,Ника,1, Михаила Немыткина,34.0,Заельцовская,https://novosibirsk.cian.ru/sale/flat/324300846/?mlSearchSessionGuid=e0f94a0489a6b836ae41be0818b8e690
flat,ЖИЛФОНД,real_estate_agent,sale,Октябрьский,10,17,10,Новосибирск,5480000,Выборная-Рябиновая,1,Рябиновая ,36.89,Речной вокзал,https://novosibirsk.cian.ru/sale/flat/320017581/?mlSearchSessionGuid=e0f94a0489a6b836ae41be0818b8e690
flat,ЕВРОДОМ,real_estate_agent,sale,Заельцовский,1,10,92,Новосибирск,5450000,Светлая роща 2,1,Кубовая ,39.1,Заельцовская,https://novosibirsk.cian.ru/sale/flat/326386903/?mlSearchSessionGuid=e0f94a0489a6b836ae41be0818b8e690
flat,Владис Центральное,real_estate_agent,sale,Кировский,6,10,94,Новосибирск,5490000,,1, Зорге,47.9,Площадь Маркса,https://novosibirsk.cian.ru/sale/flat/326217596/?mlSearchSessionGuid=e0f94a0489a6b836ae41be0818b8e690
flat,Квартирный портал,real_estate_agent,sale,Первомайский,25,25,53,Новосибирск,5499000,Весенний,1, Заречная,40.0,Спортивная,https://novosibirsk.cian.ru/sale/flat/326419742/?mlSearchSessionGuid=e0f94a0489a6b836ae41be0818b8e690
