iter	Passed	Remaining
938	30675	361341
939	30711	361352
940	30749	361375
941	30783	361363
942	30818	361353
943	30854	361361
944	30890	361365
945	30925	361363
946	30960	361359
947	30994	361346
948	31029	361337
949	31064	361323
950	31099	361320
951	31134	361313
952	31169	361312
953	31210	361369
954	31245	361373
955	31279	361353
956	31315	361355
957	31350	361354
958	31386	361358
959	31421	361352
960	31457	361350
961	31491	361331
962	31525	361314
963	31561	361319
964	31594	361295
965	31629	361285
966	31664	361271
967	31698	361262
968	31732	361243
969	31769	361250
970	31804	361242
971	31838	361234
972	31871	361202
973	31904	361166
974	31937	361141
975	31970	361110
976	32004	361092
977	32038	361076
978	32073	361062
979	32106	361034
980	32140	361016
981	32175	361003
982	32208	360981
983	32242	360958
984	32277	360950
985	32310	360924
986	32343	360890
987	32376	360862
988	32410	360841
989	32445	360833
990	32479	360808
991	32512	360779
992	32547	360776
993	32582	360766
994	32617	360755
995	32650	360724
996	32684	360707
997	32718	360690
998	32752	360669
999	32786	360655
1000	32821	360646
1001	32855	360622
1002	32889	360600
1003	32923	360580
1004	32957	360569
1005	32991	360548
1006	33025	360526
1007	33060	360519
1008	33096	360515
1009	33134	360542
1010	33168	360520
1011	33202	360503
1012	33236	360488
1013	33270	360465
1014	33304	360446
1015	33338	360427
1016	33372	360401
1017	33406	360383
1018	33440	360358
1019	33484	360452
1020	33518	360427
1021	33553	360418
1022	33587	360405
1023	33621	360385
1024	33655	360359
1025	33690	360354
1026	33725	360340
1027	33758	360311
1028	33793	360298
1029	33828	360286
1030	33861	360259
1031	33894	360228
1032	33926	360189
1033	33959	360158
1034	33993	360134
1035	34028	360120
1036	34060	360086
1037	34094	360057
1038	34129	360049
1039	34162	360020
1040	34196	359995
1041	34227	359950
1042	34262	359932
1043	34296	359913
1044	34327	359864
1045	34359	359825
1046	34393	359804
1047	34427	359778
1048	34460	359748
1049	34493	359721
1050	34527	359701
1051	34561	359679
1052	34598	359683
1053	34632	359663
1054	34667	359651
1055	34701	359635
1056	34735	359617
1057	34769	359588
1058	34803	359568
1059	34836	359534
1060	34868	359497
1061	34903	359489
1062	34952	359622
1063	34984	359577
1064	35018	359555
1065	35053	359540
1066	35085	359507
1067	35132	359612
1068	35164	359573
1069	35197	359536
1070	35231	359518
1071	35264	359484
1072	35297	359456
1073	35331	359432
1074	35363	359388
1075	35397	359365
1076	35431	359346
1077	35466	359336
1078	35499	359308
1079	35533	359285
1080	35567	359261
1081	35602	359245
1082	35635	359218
1083	35669	359196
1084	35704	359180
1085	35736	359141
1086	35769	359114
1087	35803	359090
1088	35838	359077
1089	35873	359062
1090	35907	359039
1091	35940	359007
1092	35973	358980
1093	36007	358959
1094	36042	358943
1095	36076	358923
1096	36111	358912
1097	36146	358895
1098	36179	358865
1099	36214	358851
1100	36249	358843
1101	36284	358823
1102	36317	358798
1103	36351	358778
1104	36385	358746
1105	36419	358724
1106	36453	358706
1107	36487	358682
1108	36520	358651
1109	36554	358629
1110	36589	358616
1111	36624	358608
1112	36659	358586
1113	36693	358572
1114	36729	358564
1115	36765	358563
1116	36801	358563
1117	36836	358546
1118	36871	358532
1119	36905	358514
1120	36939	358487
1121	36975	358479
1122	37009	358465
1123	37045	358462
1124	37081	358452
1125	37114	358426
1126	37149	358409
1127	37185	358401
1128	37220	358388
1129	37254	358371
1130	37294	358403
1131	37328	358384
1132	37363	358368
1133	37397	358348
1134	37433	358334
1135	37466	358310
1136	37501	358291
1137	37536	358276
1138	37572	358273
1139	37607	358256
1140	37642	358246
1141	37676	358226
1142	37711	358213
1143	37746	358196
1144	37781	358179
1145	37815	358158
1146	37848	358127
1147	37882	358100
1148	37916	358073
1149	37949	358049
1150	37982	358016
1151	38017	357994
1152	38051	357978
1153	38086	357960
1154	38120	357931
1155	38154	357909
1156	38187	357882
1157	38222	357869
1158	38256	357842
1159	38291	357822
1160	38324	357793
1161	38358	357768
1162	38392	357744
1163	38426	357720
1164	38460	357695
1165	38493	357670
1166	38528	357647
1167	38562	357623
1168	38595	357596
1169	38631	357585
1170	38664	357556
1171	38697	357521
1172	38732	357511
1173	38767	357491
1174	38801	357466
1175	38835	357441
1176	38868	357414
1177	38902	357383
1178	38934	357345
1179	38968	357318
1180	39002	357294
1181	39035	357261
1182	39068	357232
1183	39102	357204
1184	39137	357188
1185	39170	357155
1186	39203	357124
1187	39236	357090
1188	39269	357062
1189	39303	357037
1190	39336	356999
1191	39371	356981
1192	39404	356955
1193	39438	356926
1194	39470	356889
1195	39504	356859
1196	39525	356724
1197	39556	356673
1198	39591	356657
1199	39625	356627
1200	39660	356612
1201	39694	356587
1202	39728	356562
1203	39762	356538
1204	39796	356519
1205	39830	356491
1206	39864	356469
1207	39896	356429
1208	39931	356408
1209	39965	356383
1210	39998	356354
1211	40031	356318
1212	40063	356275
1213	40096	356246
1214	40130	356221
1215	40165	356203
1216	40238	356521
1217	40273	356509
1218	40308	356492
1219	40343	356474
1220	40380	356481
1221	40415	356466
1222	40452	356461
1223	40485	356433
1224	40518	356400
1225	40553	356382
1226	40587	356358
1227	40621	356334
