author_type,district,floor,floors_count,kitchen_meters,price,rooms_count,street,total_meters,underground,is_studio,house_age,latitude,longitude,distance_to_metro_km,distance_to_center_km,has_metro,metro_zone,effective_metro_distance,distance_to_NSU_km
real_estate_agent,Калининский,11.0,21.0,5.2,4.5,1.0,Тюленина,33.75,Заельцовская,1,3,55.106809,82.952293,5.886,8.76046986064413,1,Автомобильная,5.886,30.63471773466421
real_estate_agent,Ленинский,1.0,3.0,5.2,2.949,1.0,Большая,26.0,Площадь Гарина-Михайловского,1,6,55.029033,82.810386,5.729,7.014805183549329,1,Автомобильная,5.729,27.4520654249042
developer,Калининский,18.0,18.0,5.5,8.5,1.0,Игарская,45.12,Заельцовская,1,1,55.102931,82.937623,5.138,8.164880529642383,1,Автомобильная,5.138,30.516583986689163
real_estate_agent,Кировский,6.0,25.0,5.0,4.56,1.0,Сержанта Коротаева,28.5,Спортивная,1,9,54.961238,82.955221,4.347,7.9790343462867,0,Автомобильная,0.0,15.809603930929756
developer,Дзержинский,3.0,29.0,5.5,5.5,1.0,Закаменский мкр,27.5,Березовая Роща,1,2,55.038155,82.954826,0.602,2.364729072140335,1,Комфортная,0.602,23.391119978787064
developer,Октябрьский,3.0,8.0,5.522,6.46,1.0,Большевистская,27.61,Речной вокзал,1,5,54.989528,82.977275,3.347,5.792500345609196,1,Автомобильная,3.347,17.861840921964465
real_estate_agent,Ленинский,6.0,16.0,5.0,3.15,1.0,Зорге,29.0,Площадь Маркса,1,22,54.926963,82.922451,6.377,11.476259178615932,1,Автомобильная,6.377,14.368691881006487
real_estate_agent,Заельцовский,15.0,25.0,4.2,4.3,1.0,Сухарная,27.1,Площадь Гарина-Михайловского,1,3,55.04646,82.865794,2.48,3.924932613347529,1,Транспортная,2.48,26.859316812850363
real_estate_agent,Кировский,1.0,17.0,5.0,2.35,1.0,Виктора Уса,30.8,Площадь Маркса,1,13,54.935772,82.883033,5.242,10.763921782446598,0,Автомобильная,0.0,16.948588855114444
real_estate_agent,Первомайский,11.0,16.0,4.0,3.34,1.0,Заречная,20.0,Золотая Нива,1,6,54.982249,83.063882,8.333,10.585960472529823,0,Удалённая,0.0,15.537579748990359
developer,Заельцовский,4.0,6.0,5.1,8.85,1.0,Дуси Ковальчук,31.33,Площадь Гарина-Михайловского,1,1,55.046852,82.882646,1.67,3.039873881647789,1,Транспортная,1.67,26.32796597333683
real_estate_agent,Ленинский,15.0,18.0,8.0,5.75,1.0,Стартовая,37.2,Спортивная,1,7,54.998638,82.90753,0.908,3.6009143200994247,1,Комфортная,0.908,20.960577173835258
real_estate_agent,Октябрьский,6.0,10.0,4.0,3.08,1.0,Плющихинская,39.35,Золотая Нива,1,3,55.014277,83.004009,3.154,5.612530857641538,1,Автомобильная,3.154,19.832106141241226
real_estate_agent,Кировский,1.0,27.0,8.0,3.16,1.0,Беловежская,23.0,Площадь Маркса,1,12,54.964602,82.897002,1.969,7.44192014211505,0,Транспортная,0.0,18.433910627866055
developer,Железнодорожный,22.0,25.0,6.800000000000001,9.3,1.0,Железнодорожная,34.0,Гагаринская,1,3,55.046465,82.906317,0.732,2.0234654986688483,1,Комфортная,0.732,25.547480998407377
real_estate_agent,Кировский,1.0,10.0,4.0,3.0,1.0,Зорге,28.8,Площадь Маркса,1,9,54.930926,82.913153,5.814,11.04465478459428,0,Автомобильная,0.0,15.107016232224561
homeowner,Октябрьский,9.0,18.0,6.0,6.4,1.0,Большевистская,30.0,Речной вокзал,1,11,54.993923,82.966926,2.529,5.002669537186398,1,Транспортная,2.529,18.58631415749366
developer,Дзержинский,19.0,25.0,3.1,5.9926,1.0,Королева,24.9,Березовая Роща,1,1,55.050514,82.968489,1.327,3.8070616847637977,1,Комфортная,1.327,24.36613246098095
real_estate_agent,Заельцовский,3.0,10.0,4.0,4.299999,1.0,Сухарная,26.7,Площадь Гарина-Михайловского,1,5,55.046796,82.859497,2.852,4.300773880763655,1,Транспортная,2.852,27.110837817747704
real_estate_agent,Советский,14.0,15.0,5.720000000000001,3.35,1.0,Приморская,28.6,Площадь Маркса,1,21,54.861653,82.994756,14.82,19.329487765019643,0,Удалённая,0.0,6.66860360168623
real_estate_agent,Калининский,4.0,12.0,5.0,5.39,1.0,Имени генерал-майора А.Н. Рожкина,28.0,Заельцовская,1,3,55.111114,82.925415,5.852,9.006698240979121,1,Автомобильная,5.852,31.63402241126301
real_estate_agent,Октябрьский,7.0,10.0,4.0,3.0,1.0,Плющихинская,39.0,Золотая Нива,1,3,55.011366,83.006291,3.503,5.858509538735904,1,Автомобильная,3.503,19.480146079480427
developer,Центральный,23.0,25.0,5.04,6.8,1.0,Державина,25.2,Маршала Покрышкина,1,5,55.039729,82.937156,0.573,1.50537479346394,1,Комфортная,0.573,24.002034321488217
real_estate_agent,Калининский,5.0,12.0,5.4,4.12,1.0,Имени генерал-майора А.Н. Рожкина,32.0,Заельцовская,1,2,55.110326,82.924858,5.76,8.917941602322847,1,Автомобильная,5.76,31.563824775934787
real_estate_agent,Заельцовский,6.0,10.0,4.960000000000001,3.6,1.0,Кубовая,24.8,Заельцовская,1,3,55.125278,82.897442,7.433,10.67688667854408,1,Удалённая,7.433,33.74095561801559
real_estate_agent,Кировский,2.0,3.0,5.0,2.5,1.0,Рубежная,30.0,Спортивная,1,9,54.940541,83.007243,8.202,11.401334098960495,0,Удалённая,0.0,12.12629577132045
developer,Дзержинский,8.0,29.0,5.48,5.8,1.0,Закаменский мкр,27.4,Березовая Роща,1,2,55.038155,82.954826,0.602,2.364729072140335,1,Комфортная,0.602,23.391119978787064
real_estate_agent,Калининский,7.0,17.0,4.0,3.799,1.0,Тайгинская,24.7,Заельцовская,1,2,55.113967,82.979736,7.457,10.054080910044576,1,Удалённая,7.457,30.93652068961986
real_estate_agent,Калининский,17.0,20.0,3.0,5.05,1.0,Олеко Дундича,29.0,Березовая Роща,1,3,55.071175,82.957773,3.122,5.143039739662339,1,Автомобильная,3.122,26.760257131470503
developer,Центральный,16.0,29.0,2.0,5.48592,1.0,Николая Островского,20.78,Маршала Покрышкина,1,1,55.050262,82.927778,0.751,2.2831220130337577,1,Комфортная,0.751,25.315850278715093
real_estate_agent,Кировский,13.0,17.0,3.0,3.1,1.0,Бронная,23.0,Площадь Маркса,1,4,54.948851,82.969307,5.968,9.564139201579868,0,Автомобильная,0.0,14.164915970630979
real_estate_agent,Октябрьский,6.0,8.0,5.4,3.46,1.0,Ключ-Камышенское плато,27.0,Золотая Нива,1,14,54.987074,83.045394,7.158,9.297676523078067,1,Удалённая,7.158,16.25445288573748
developer,Кировский,12.0,26.0,3.4,5.4,1.0,Аникина,27.73,Студенческая,1,1,54.964866,82.946382,3.685,7.447122803749258,0,Автомобильная,0.0,16.462285689012816
real_estate_agent,Заельцовский,2.0,10.0,4.0,3.7,1.0,Кубовая,24.3,Заельцовская,1,14,55.128274,82.889375,7.843,11.086935628379983,1,Удалённая,7.843,34.243249048732885
developer,Ленинский,15.0,15.0,5.0,6.5245,1.0,Серафимовича,27.7,Площадь Маркса,1,1,54.979764,82.88041,1.046,6.158230141985667,1,Комфортная,1.046,20.391329493847017
real_estate_agent,Заельцовский,9.0,10.0,4.2,3.8,1.0,Кубовая,21.0,Заельцовская,1,12,55.125278,82.897442,7.433,10.67688667854408,1,Удалённая,7.433,33.74095561801559
real_estate_agent,Октябрьский,3.0,12.0,5.0,5.0,1.0,Кошурникова,29.0,Золотая Нива,1,1,55.039997,82.966774,0.627,3.1486892845804637,1,Комфортная,0.627,23.3034375427293
real_estate_agent,Октябрьский,16.0,17.0,4.0,3.41,1.0,Рябиновая,23.1,Золотая Нива,1,17,55.001778,83.025532,5.09,7.406514574046946,1,Автомобильная,5.09,18.126139483652654
real_estate_agent,Первомайский,2.0,17.0,4.0,2.68,1.0,Одоевского,20.0,Речной вокзал,1,14,54.937541,83.106426,13.402,15.713088238670975,0,Удалённая,0.0,10.475463765028293
developer,Кировский,5.0,26.0,13.8,8.51,1.0,Аникина,46.57,Студенческая,1,1,54.964866,82.946382,3.685,7.447122803749258,0,Автомобильная,0.0,16.462285689012816
homeowner,Кировский,11.0,17.0,9.0,5.333,1.0,Тульская,33.0,Студенческая,1,6,54.978178,82.916648,1.358,5.785735902161735,0,Комфортная,0.0,18.77742222383056
real_estate_agent,Дзержинский,6.0,26.0,3.0,5.9,1.0,Закаменский мкр,21.5,Березовая Роща,1,7,55.037763,82.956443,0.68,2.445136547337859,1,Комфортная,0.68,23.31167796323342
real_estate_agent,Советский,6.0,17.0,5.0,3.7,1.0,Приморская,26.0,Площадь Маркса,1,9,54.861653,82.994756,14.82,19.329487765019643,0,Удалённая,0.0,6.66860360168623
real_estate_agent,Кировский,3.0,9.0,5.0,5.4,1.0,Немировича-Данченко,24.0,Спортивная,1,10,54.990178,82.916522,0.55,4.453349925405253,0,Комфортная,0.0,19.860802506929463
developer,Октябрьский,8.0,10.0,4.64,4.4549,1.0,Большевистская,23.2,Речной вокзал,1,1,54.99256,82.977895,3.168,5.559404724898926,1,Автомобильная,3.168,18.15229982940267
real_estate_agent,Заельцовский,6.0,10.0,5.0,4.2,1.0,Кубовая,24.3,Заельцовская,1,14,55.128207,82.888503,7.847,11.089644570409442,1,Удалённая,7.847,34.25763027178133
real_estate_agent,Дзержинский,3.0,26.0,3.0,4.0,1.0,Есенина,27.0,Золотая Нива,1,12,55.045547,82.985351,1.089,4.475978509503418,1,Комфортная,1.089,23.505056842348917
developer,Ленинский,12.0,14.0,11.1,7.203,1.0,Забалуева,27.8,Площадь Маркса,1,2,54.98852,82.807619,5.694,8.555241682058933,1,Автомобильная,5.694,24.39084580517632
real_estate_agent,Заельцовский,4.0,26.0,7.0,6.05,1.0,Кавалерийская,35.0,Заельцовская,1,6,55.057053,82.917438,0.377,2.995903924133039,1,Пешеходная,0.377,26.279463199519284
homeowner,Ленинский,13.0,18.0,2.0,3.2,1.0,Забалуева,20.0,Площадь Маркса,1,10,54.988267,82.783706,7.208,9.88516655576634,1,Удалённая,7.208,25.54039358725534
realtor,Советский,7.0,8.0,4.0,3.5,1.0,Приморская,25.6,Площадь Маркса,1,7,54.857248,82.989869,15.139,19.732251391352094,0,Удалённая,0.0,6.842892404284188
developer,Октябрьский,3.0,10.0,4.7,4.4368,1.0,Большевистская,23.5,Речной вокзал,1,1,54.99256,82.977895,3.168,5.559404724898926,1,Автомобильная,3.168,18.15229982940267
