author_type,district,floor,kitchen_meters,price,rooms_count,year_of_construction
2.0,3.4,17.0,5.0,6100000.0,1.0,2025
2.0,2.5,14.0,5.0,6100000.0,1.0,2020
2.0,3.9,3.0,4.0,6250000.0,1.0,2002
2.0,3.8,20.0,9.0,6300000.0,1.0,2007
2.0,2.5,23.0,4.1,6300000.0,1.0,2021
2.0,3.8,13.0,13.0,6350000.0,1.0,2007
2.0,4.0,7.0,5.0,6450000.0,1.0,2022
2.0,2.5,10.0,8.0,6490000.0,1.0,2020
2.0,3.9,9.0,4.0,6440000.0,1.0,2023
2.0,2.5,18.0,5.0,6400000.0,1.0,2020
2.0,3.4,23.0,5.0,6500000.0,1.0,2019
2.0,2.9,3.0,5.018000000000001,6500000.0,1.0,2026
2.0,2.5,8.0,3.6,6500000.0,1.0,2020
2.0,3.4,10.0,11.1,6500000.0,1.0,2025
2.0,4.0,15.0,5.0,6550000.0,1.0,2022
2.0,4.0,24.0,5.0,6550000.0,1.0,2026
2.0,4.0,19.0,5.0,6555000.0,1.0,2018
2.0,2.5,11.0,3.0,6700000.0,1.0,2023
2.0,3.8,10.0,5.18,6700000.0,1.0,2014
2.0,2.5,9.0,5.2,6700000.0,1.0,2024
2.0,3.7,3.0,6.0,6850000.0,1.0,2018
2.0,4.0,14.0,8.08,6850000.0,1.0,2022
2.0,2.9,5.0,5.4,6800000.0,1.0,2015
2.0,3.7,3.0,5.0,6900000.0,1.0,2018
2.0,3.4,17.0,6.0,6900000.0,1.0,2019
2.0,3.8,8.0,5.3,6900000.0,1.0,2016
2.0,3.7,24.0,14.0,7000000.0,1.0,2017
2.0,2.5,6.0,3.0,7000000.0,1.0,2020
2.0,2.5,2.0,5.0,7000000.0,1.0,2009
2.0,3.9,5.0,3.0,7230000.0,1.0,2024
2.0,3.4,22.0,6.2,7199000.0,1.0,2024
2.0,3.7,22.0,5.0,7200000.0,1.0,2017
2.0,2.5,4.0,9.0,7400000.0,1.0,2017
2.0,3.8,21.0,4.0,7500000.0,1.0,2022
2.0,3.9,18.0,4.0,7800000.0,1.0,2002
2.0,2.5,2.0,7.0,7955000.0,1.0,2020
2.0,4.0,6.0,7.5,8100000.0,1.0,2023
2.0,3.4,20.0,10.0,8550000.0,1.0,2020
2.0,4.0,5.0,7.5,8600000.0,1.0,2023
2.0,2.5,23.0,4.1,8650000.0,1.0,2017
2.0,4.0,6.0,5.8,8900000.0,1.0,2025
2.0,4.0,22.0,9.0,9200000.0,1.0,2022
2.0,2.5,10.0,7.9,9500000.0,1.0,2026
2.0,2.5,4.0,12.0,9500000.0,1.0,2026
2.0,2.9,10.0,11.0,10500000.0,1.0,2025
2.0,3.8,14.0,10.0,10899000.0,1.0,2015
2.0,2.5,12.0,19.0,12000000.0,1.0,2017
2.0,4.0,9.0,2.9,12300000.0,1.0,2023
2.0,3.4,14.0,27.0,12400000.0,1.0,2019
2.0,4.0,7.0,3.0,12500000.0,1.0,2022
2.0,2.5,20.0,19.0,12500000.0,1.0,2017
2.0,3.3,8.0,45.7,18500000.0,1.0,2017
2.0,3.8,4.0,35.0,28500000.0,1.0,1999
2.0,3.8,8.0,25.0,49000000.0,1.0,2007
2.0,3.3,5.0,0.0,1680000.0,1.0,1960
2.0,2.5,1.0,5.0,1680000.0,1.0,2025
2.0,3.3,3.0,3.0,1750000.0,1.0,1989
2.0,3.7,3.0,1.0,1760000.0,1.0,2011
2.0,3.3,1.0,6.0,1799000.0,1.0,2017
2.0,4.0,1.0,2.0,1800000.0,1.0,2012
2.0,2.5,10.0,5.0,1870000.0,1.0,2027
2.0,2.5,7.0,5.0,1860000.0,1.0,2023
2.0,4.4,14.0,3.3,1899990.0,1.0,2012
5.0,4.0,3.0,7.0,1855000.0,1.0,2012
2.0,4.2,3.0,3.0,1999900.0,1.0,1970
2.0,4.4,3.0,3.0,1990000.0,1.0,2011
2.0,3.3,4.0,5.0,2000000.0,1.0,1988
2.0,2.5,10.0,4.0,2000000.0,1.0,2025
2.0,3.7,1.0,2.0,2000000.0,1.0,1990
5.0,2.5,5.0,10.75,2000000.0,1.0,2027
2.0,2.5,5.0,3.0,2050000.0,1.0,2027
2.0,3.7,2.0,3.0,2050000.0,1.0,1989
2.0,2.5,3.0,5.0,2050000.0,1.0,2023
2.0,4.4,15.0,6.6,2100000.0,1.0,2012
2.0,3.3,3.0,4.0,2100000.0,1.0,2001
2.0,2.5,3.0,5.0,2100000.0,1.0,2027
2.0,2.5,17.0,5.0,2100000.0,1.0,2025
2.0,4.4,1.0,4.0,2190000.0,1.0,2015
2.0,2.5,6.0,5.0,2170000.0,1.0,2025
2.0,3.7,1.0,5.16,2150000.0,1.0,1958
2.0,4.4,1.0,6.399999999999999,2200000.0,1.0,2011
