author_type,district,floor,kitchen_meters,price,rooms_count,total_meters,year_of_construction
2.0,2.5,20.0,2.0,4850.0,1.0,28.8,2020
2.0,4.0,15.0,5.686,5480.0,1.0,28.43,2027
2.0,2.9,7.0,6.140000000000001,3300.0,1.0,30.7,2015
2.0,2.5,7.0,4.0,3000.0,1.0,39.0,2024
4.0,4.4,6.0,5.0,4167.0,1.0,21.85,2026
2.0,3.3,15.0,4.0,3800.0,1.0,28.1,2017
2.0,3.4,12.0,3.0,4600.0,1.0,18.0,2018
2.0,4.0,9.0,5.734000000000001,5510.0,1.0,28.67,2027
2.0,3.3,12.0,2.0,4700.0,1.0,23.4,2017
2.0,2.5,4.0,2.4,4700.0,1.0,22.7,2024
2.0,3.7,3.0,3.1,2950.0,1.0,23.4,2014
2.0,2.5,6.0,12.399999999999999,3500.0,1.0,32.4,2020
2.0,2.9,14.0,3.0,2950.0,1.0,22.7,2018
4.0,3.4,15.0,11.099999999999998,5521.0,1.0,25.9,2026
2.0,4.4,17.0,4.0,3900.0,1.0,27.4,2012
2.0,4.2,15.0,5.0,2950.0,1.0,27.8,1994
4.0,2.5,23.0,3.6,4910.0,1.0,23.2,2026
2.0,3.7,9.0,3.5,3850.0,1.0,25.8,2017
4.0,3.4,17.0,10.799999999999999,5634.0,1.0,25.2,2026
2.0,3.7,12.0,5.0,3700.0,1.0,23.8,2019
2.0,2.5,12.0,5.0,3000.0,1.0,25.0,2024
2.0,4.0,5.0,7.102,6810.0,1.0,35.51,2027
2.0,3.3,14.0,2.0,4550.0,1.0,28.4,2017
4.0,2.9,5.0,4.436,4790.0,1.0,22.18,2026
2.0,2.9,3.0,5.24,5500.0,1.0,26.2,2015
2.0,4.0,5.0,5.0,5500.0,1.0,25.0,2012
4.0,3.4,17.0,17.42,6529.0,1.0,29.92,2026
2.0,2.9,12.0,2.0,3800.0,1.0,25.7,2020
2.0,2.5,6.0,4.0,3080.0,1.0,39.35,2024
4.0,4.2,4.0,6.426000000000001,7494.0,1.0,32.13,2027
4.0,3.3,1.0,5.84,4200.0,1.0,29.2,2027
2.0,4.4,15.0,6.199999999999999,3800.0,1.0,21.2,2013
2.0,3.7,8.0,5.0,4200.0,1.0,22.7,2017
4.0,4.4,1.0,5.0,4899.0,1.0,27.4,2026
2.0,2.5,14.0,4.100000000000001,4300.0,1.0,26.1,2024
2.0,3.7,16.0,4.0,2299.0,1.0,19.0,2013
4.0,2.9,1.0,20.56,6661.0,1.0,35.86,2027
