author_type,district,floor,floors_count,kitchen_meters,living_meters,price,rooms_count,total_meters,year_of_construction
4.0,2.5,3.0,10.0,4.7,18.8,4193.0,1.0,23.5,2026
2.0,2.9,9.0,14.0,7.299999999999999,15.1,3150.0,1.0,22.4,2017
2.0,3.7,2.0,17.0,4.0,11.0,2300.0,1.0,20.0,2014
4.0,3.4,3.0,14.0,2.8,8.2,4100.0,1.0,20.4,2027
2.0,4.4,13.0,17.0,3.0,11.2,2300.0,1.0,19.2,2013
2.0,2.9,1.0,3.0,5.2,20.8,2949.0,1.0,26.0,2015
4.0,3.9,11.0,25.0,5.1,12.0,8600.0,1.0,41.7,2028
2.0,2.9,14.0,18.0,4.08,16.32,3000.0,1.0,20.4,2023
4.0,4.2,3.0,18.0,7.5,9.1,5990.0,1.0,25.57,2028
4.0,2.5,1.0,9.0,10.0,12.3,9990.0,1.0,42.28,2026
2.0,2.5,3.0,22.0,12.600000000000001,18.0,4600.0,1.0,30.6,2020
2.0,3.3,4.0,9.0,5.0,17.0,4400.0,1.0,28.0,2017
4.0,2.5,4.0,10.0,4.64,18.56,4154.0,1.0,23.2,2026
2.0,2.5,2.0,18.0,5.34,21.36,3850.0,1.0,26.7,2015
2.0,3.7,4.0,17.0,5.0,14.1,3300.0,1.0,24.1,2023
4.0,3.4,3.0,14.0,5.4,11.9,4990.0,1.0,26.9,2027
2.0,2.5,16.0,17.0,4.0,18.0,3410.0,1.0,23.1,2010
2.0,2.5,6.0,16.0,5.0,16.0,4100.0,1.0,21.3,2023
4.0,4.0,8.0,25.0,4.0,26.0,7200.0,1.0,37.4,2025
4.0,2.9,5.0,27.0,14.399999999999999,13.0,5402.0,1.0,27.4,2027
2.0,2.5,6.0,8.0,5.4,21.6,3460.0,1.0,27.0,2013
2.0,3.7,13.0,19.0,5.0,22.6,3000.0,1.0,27.6,2014
2.0,4.0,12.0,24.0,6.938,27.752,6650.0,1.0,34.69,2027
2.0,3.8,5.0,5.0,4.0,16.0,3840.0,1.0,25.0,2007
2.0,2.9,4.0,17.0,5.638000000000001,22.552000000000003,4419.0,1.0,28.19,2026
4.0,3.4,6.0,14.0,5.2,15.3,5350.0,1.0,29.7,2027
2.0,2.9,10.0,17.0,6.0,15.0,2999.0,1.0,27.5,2023
2.0,2.9,2.0,12.0,5.34,21.36,3577.0,1.0,26.7,2024
4.0,3.4,19.0,25.0,3.1,14.9,5664.0,1.0,24.9,2026
2.0,2.9,8.0,16.0,5.0,12.0,4650.0,1.0,24.1,2012
2.0,2.5,10.0,10.0,14.399999999999999,18.0,3400.0,1.0,32.4,2010
4.0,2.9,12.0,13.0,4.806000000000001,19.224000000000004,5700.0,1.0,24.03,2026
2.0,4.4,17.0,17.0,3.8600000000000003,15.440000000000001,2250.0,1.0,19.3,2015
2.0,3.7,8.0,10.0,19.5,19.0,3480.0,1.0,38.5,2019
4.0,3.4,6.0,14.0,5.0,11.5,4550.0,1.0,25.5,2027
2.0,4.0,4.0,17.0,5.0,13.3,4900.0,1.0,26.3,2020
4.0,3.3,15.0,21.0,5.0,15.8,4833.0,1.0,32.0,2027
