accommodation_type;author;author_type;deal_type;district;floor;floors_count;house_number;location;price;residential_complex;rooms_count;street;total_meters;underground;url
flat;METRAGE;real_estate_agent;sale;Октябрьский;10;10;3;Новосибирск;3890000;Плющихинский;1; Плющихинская;32.5;Золотая Нива;https://novosibirsk.cian.ru/sale/flat/321916392/?mlSearchSessionGuid=85b53e6a96413fb99ff0f4de228876ec
flat;Право собственности;real_estate_agent;sale;Кировский;3;5;44;Новосибирск;1700000;;1; Зорге;19.0;Площадь Маркса;https://novosibirsk.cian.ru/sale/flat/325614157/?mlSearchSessionGuid=85b53e6a96413fb99ff0f4de228876ec
flat;Телецентр 19|56;real_estate_agent;sale;Ленинский;8;15;19/1;Новосибирск;5390000;1956. Кварталы Телецентра;1; Костычева;26.7;Площадь Маркса;https://novosibirsk.cian.ru/sale/flat/325981352/?mlSearchSessionGuid=85b53e6a96413fb99ff0f4de228876ec
flat;РиэлтПрофи;real_estate_agent;sale;Кировский;3;10;30;Новосибирск;1200000;Просторный;-1; Виктора Шевелева;8.1;Студенческая;https://novosibirsk.cian.ru/sale/flat/324556977/?mlSearchSessionGuid=85b53e6a96413fb99ff0f4de228876ec
flat;Брусника;developer;sale;Октябрьский;2;6;с109;Новосибирск;5310000;мкр. Европейский Берег;1;Большевистская ;21.55;Спортивная;https://novosibirsk.cian.ru/sale/flat/314945450/?mlSearchSessionGuid=85b53e6a96413fb99ff0f4de228876ec
flat;Этажи;real_estate_agent;sale;Кировский;2;10;26;Новосибирск;3400000;Просторный;1; Виктора Шевелева;38.5;Студенческая;https://novosibirsk.cian.ru/sale/flat/327055867/?mlSearchSessionGuid=85b53e6a96413fb99ff0f4de228876ec
flat;100 Домов-Новосибирск;real_estate_agent;sale;Ленинский;2;3;22;Новосибирск;2350000;;1;переулок 1-й Пархоменко;18.0;Площадь Маркса;https://novosibirsk.cian.ru/sale/flat/323282641/?mlSearchSessionGuid=85b53e6a96413fb99ff0f4de228876ec
flat;Брусника;developer;sale;Дзержинский;9;14;;Новосибирск;7760000;Город-на-озере ЖК;1;;26.84;Березовая Роща;https://novosibirsk.cian.ru/sale/flat/324800937/?mlSearchSessionGuid=85b53e6a96413fb99ff0f4de228876ec
flat;Этажи;real_estate_agent;sale;Октябрьский;5;5;347А;Новосибирск;3370000;;-1;Ленинградская ;21.0;Речной вокзал;https://novosibirsk.cian.ru/sale/flat/323081446/?mlSearchSessionGuid=85b53e6a96413fb99ff0f4de228876ec
flat;Владис Центральное;real_estate_agent;sale;Советский;1;9;16;Новосибирск;2600000;;1; Полевая;16.0;;https://novosibirsk.cian.ru/sale/flat/319611240/?mlSearchSessionGuid=85b53e6a96413fb99ff0f4de228876ec
flat;Брусника;developer;sale;Заельцовский;9;9;1/4;Новосибирск;7640000;Лебедевский;1;Лебедевский кв-л;33.6;Заельцовская;https://novosibirsk.cian.ru/sale/flat/323145186/?mlSearchSessionGuid=85b53e6a96413fb99ff0f4de228876ec
flat;Этажи;real_estate_agent;sale;Заельцовский;4;10;107/1;Новосибирск;3720000;Бирюзовая жемчужина-Апартаменты;-1;Сухарная ;19.2;Площадь Гарина-Михайловского;https://novosibirsk.cian.ru/sale/flat/314150005/?mlSearchSessionGuid=85b53e6a96413fb99ff0f4de228876ec
flat;ПАЛИТРА;real_estate_agent;sale;Октябрьский;6;10;13/2;Новосибирск;3550000;Плющихинский;1; Виталия Потылицына;39.0;Золотая Нива;https://novosibirsk.cian.ru/sale/flat/324803925/?mlSearchSessionGuid=85b53e6a96413fb99ff0f4de228876ec
flat;ПОЛЯКОВ;developer;sale;Заельцовский;10;11;236;Новосибирск;14294000;Клубный комплекс ;1;Красный проспект;85.9;Заельцовская;https://novosibirsk.cian.ru/sale/flat/321427776/?mlSearchSessionGuid=85b53e6a96413fb99ff0f4de228876ec
flat;Планета Недвижимости -подразделение ООО Лаки;real_estate_agent;sale;Первомайский;11;19;15;Новосибирск;2000000;Берёзовое;1;Березовая ;18.2;Речной вокзал;https://novosibirsk.cian.ru/sale/flat/326667079/?mlSearchSessionGuid=85b53e6a96413fb99ff0f4de228876ec
flat;ПОЛЯКОВ;developer;sale;Заельцовский;15;15;236;Новосибирск;14110000;Клубный комплекс ;1;Красный проспект;88.8;Заельцовская;https://novosibirsk.cian.ru/sale/flat/306648419/?mlSearchSessionGuid=85b53e6a96413fb99ff0f4de228876ec
flat;Поиск Метров;real_estate_agent;sale;Кировский;17;17;6/1;Новосибирск;3500000;Дом по ул. Беловежская, 6/1;1;Беловежская ;23.8;Площадь Маркса;https://novosibirsk.cian.ru/sale/flat/316257878/?mlSearchSessionGuid=85b53e6a96413fb99ff0f4de228876ec
flat;Владис Центральное;real_estate_agent;sale;Кировский;1;17;13;Новосибирск;2350000;;1; Виктора Уса;30.8;Площадь Маркса;https://novosibirsk.cian.ru/sale/flat/325542667/?mlSearchSessionGuid=85b53e6a96413fb99ff0f4de228876ec
