accommodation_type;author;author_type;deal_type;district;floor;floors_count;house_number;location;price;residential_complex;rooms_count;street;total_meters;underground;url
flat;ЛЕГКО;real_estate_agent;sale;Кировский;8;10;95;Новосибирск;5350000;Матрешкин двор;2; Петухова;56.2;Студенческая;https://novosibirsk.cian.ru/sale/flat/326342394/?mlSearchSessionGuid=5ccd199be5d7419b8fafb8ea055be6bb
flat;Квартирный портал;real_estate_agent;sale;Первомайский;2;17;39;Новосибирск;5350000;Весенний;2; Заречная;36.8;Спортивная;https://novosibirsk.cian.ru/sale/flat/325653190/?mlSearchSessionGuid=5ccd199be5d7419b8fafb8ea055be6bb
flat;Владис Центральное;real_estate_agent;sale;Калининский;5;10;15;Новосибирск;5390000;Мкрн. Родники;2; Тюленина;53.1;Заельцовская;https://novosibirsk.cian.ru/sale/flat/326572328/?mlSearchSessionGuid=5ccd199be5d7419b8fafb8ea055be6bb
flat;КЛЕВЕР;real_estate_agent;sale;Ленинский;3;13;33;Новосибирск;5399000;;2;Волховская ;51.9;Площадь Маркса;https://novosibirsk.cian.ru/sale/flat/311209637/?mlSearchSessionGuid=5ccd199be5d7419b8fafb8ea055be6bb
flat;АльянсРиэлт;real_estate_agent;sale;Октябрьский;7;10;48/1;Новосибирск;5350000;;2;Большевистская ;45.9;Октябрьская;https://novosibirsk.cian.ru/sale/flat/324844158/?mlSearchSessionGuid=5ccd199be5d7419b8fafb8ea055be6bb
flat;Новый Адрес;real_estate_agent;sale;Центральный;1;5;12;Новосибирск;5390000;;2; Гоголя;45.4;Красный Проспект;https://novosibirsk.cian.ru/sale/flat/326274138/?mlSearchSessionGuid=5ccd199be5d7419b8fafb8ea055be6bb
flat;ЖИЛФОНД;real_estate_agent;sale;Октябрьский;4;5;202;Новосибирск;5400000;;2; Белинского;43.5;Октябрьская;https://novosibirsk.cian.ru/sale/flat/325906871/?mlSearchSessionGuid=5ccd199be5d7419b8fafb8ea055be6bb
flat;ЖИЛФОНД;real_estate_agent;sale;Октябрьский;2;7;42/1;Новосибирск;5400000;Плющихинский;2; В. Высоцкого;50.0;Золотая Нива;https://novosibirsk.cian.ru/sale/flat/325480110/?mlSearchSessionGuid=5ccd199be5d7419b8fafb8ea055be6bb
flat;ЖИЛФОНД;real_estate_agent;sale;Ленинский;10;10;15;Новосибирск;5400000;по ул. Связистов, 15;2; Связистов;56.2;Площадь Маркса;https://novosibirsk.cian.ru/sale/flat/326175330/?mlSearchSessionGuid=5ccd199be5d7419b8fafb8ea055be6bb
flat;ЖИЛФОНД;real_estate_agent;sale;Октябрьский;2;18;42/2;Новосибирск;5400000;На Снежиной;2; Татьяны Снежиной;56.2;Золотая Нива;https://novosibirsk.cian.ru/sale/flat/319169796/?mlSearchSessionGuid=5ccd199be5d7419b8fafb8ea055be6bb
flat;Люди;real_estate_agent;sale;Октябрьский;5;9;202;Новосибирск;5400000;;2; Бориса Богаткова;46.8;Золотая Нива;https://novosibirsk.cian.ru/sale/flat/326639981/?mlSearchSessionGuid=5ccd199be5d7419b8fafb8ea055be6bb
flat;Ключи;real_estate_agent;sale;Ленинский;7;25;3/1;Новосибирск;5400000;1-ый на Киевской;2; Забалуева;42.0;Площадь Маркса;https://novosibirsk.cian.ru/sale/flat/325902230/?mlSearchSessionGuid=5ccd199be5d7419b8fafb8ea055be6bb
flat;Квартирный портал;real_estate_agent;sale;Октябрьский;5;10;11/1;Новосибирск;5400000;Плющихинский;2; Виталия Потылицына;58.4;Золотая Нива;https://novosibirsk.cian.ru/sale/flat/305857051/?mlSearchSessionGuid=5ccd199be5d7419b8fafb8ea055be6bb
flat;Ольга Касич;realtor;sale;Советский;1;10;41;Новосибирск;5400000;;2; Сиреневая;46.0;;https://novosibirsk.cian.ru/sale/flat/326393927/?mlSearchSessionGuid=5ccd199be5d7419b8fafb8ea055be6bb
flat;Жанна Кулешова;realtor;sale;Кировский;7;10;98;Новосибирск;5400000;;2; Зорге;52.0;Площадь Маркса;https://novosibirsk.cian.ru/sale/flat/322977049/?mlSearchSessionGuid=5ccd199be5d7419b8fafb8ea055be6bb
flat;ЖИЛФОНД;real_estate_agent;sale;Центральный;4;5;1;Новосибирск;5490000;;2;Серебренниковская ;43.2;Октябрьская;https://novosibirsk.cian.ru/sale/flat/326819018/?mlSearchSessionGuid=5ccd199be5d7419b8fafb8ea055be6bb
flat;Калининское;real_estate_agent;sale;Калининский;1;9;8/1;Новосибирск;5450000;Мкрн. Родники;2; Мясниковой;45.6;Заельцовская;https://novosibirsk.cian.ru/sale/flat/323786976/?mlSearchSessionGuid=5ccd199be5d7419b8fafb8ea055be6bb
flat;ЖИЛФОНД;real_estate_agent;sale;Заельцовский;1;9;47;Новосибирск;5450000;;2;Линейная ;46.5;Гагаринская;https://novosibirsk.cian.ru/sale/flat/326927488/?mlSearchSessionGuid=5ccd199be5d7419b8fafb8ea055be6bb
flat;Владис Центральное;real_estate_agent;sale;Советский;7;9;3;Новосибирск;5499000;;2; Русская;43.1;;https://novosibirsk.cian.ru/sale/flat/324145539/?mlSearchSessionGuid=5ccd199be5d7419b8fafb8ea055be6bb
flat;Дельта;real_estate_agent;sale;Советский;4;5;5;Новосибирск;5450000;;2; Иванова;44.0;;https://novosibirsk.cian.ru/sale/flat/319042779/?mlSearchSessionGuid=5ccd199be5d7419b8fafb8ea055be6bb
flat;Столица Сибири;real_estate_agent;sale;Заельцовский;1;5;185А;Новосибирск;5450000;;2; Дуси Ковальчук;42.9;Заельцовская;https://novosibirsk.cian.ru/sale/flat/326467500/?mlSearchSessionGuid=5ccd199be5d7419b8fafb8ea055be6bb
flat;Владис Центральное;real_estate_agent;sale;Кировский;17;18;9;Новосибирск;5450000;Просторный;2; Николая Сотникова;56.0;Студенческая;https://novosibirsk.cian.ru/sale/flat/326572591/?mlSearchSessionGuid=5ccd199be5d7419b8fafb8ea055be6bb
flat;Вертикаль;real_estate_agent;sale;Дзержинский;2;5;231;Новосибирск;5490000;;2; Гоголя;46.0;Березовая Роща;https://novosibirsk.cian.ru/sale/flat/326645266/?mlSearchSessionGuid=5ccd199be5d7419b8fafb8ea055be6bb
